AccountNoOrig	Networth	Name of Account Holder	Bank Identification Number	AML Risk Rating	Country of Domicile	Beneficiary Details	Type of Account	PEP	Sanctions
C512734831	17149.68	James	M1212C512734831	Low	US	C461160828	Current	N	N
C393594087	1629141.12	David	M1212C393594087	Low	US	C657736958	Current	N	Y
C1139817507	2227089.93	Barbara	M1212C1139817507	Low	US	C1538745405	Savings	N	Y
C2016442966	3510452.14	Sarah	M1212C2016442966	Low	US	C1850180796	Savings	N	N
C428061834	3829576.42	Christopher	M1212C428061834	Medium	US	C451111351	Current	N	N
C507377172	4930494.53	Donald	M1212C507377172	High	US	C392292416	Current	N	N
C504509135	5963237.56	Kimberly	M1212C504509135	High	US	C1916720513	Savings	N	N
C1869544015	6140324.75	Paul	M1212C1869544015	Low	US	C1789550256	Current	N	N
C1690221909	19200.01	Andrew	M1212C1690221909	Low	US	C709091500	Current	N	N
C238748521	238449.79	Kenneth	M1212C238748521	Medium	US	C1782113663	Current	N	N
C1526060911	1081	Timothy	M1212C1526060911	Low	US	M982313508	Current	N	N
C515482607	138	Deborah	M1212C515482607	Medium	US	M1563528849	Savings	N	N
C1465691120	0	Amy	M1212C1465691120	Medium	US	M1128109696	Savings	N	N
C90628418	0	Nicholas	M1212C90628418	High	US	M765990740	Current	N	N
C39959931	0	Eric	M1212C39959931	Medium	US	M1872627924	Current	N	N
C417621837	4140	Nathan	M1212C417621837	Medium	US	C2094777811	Current	N	N
C41155230	72306.66	Robert	M1212C41155230	Low	US	M1383761509	Current	N	N
C2058526846	65633.71	Patricia	M1212C2058526846	Medium	US	M1132219173	Savings	N	N
C907858780	97245.12	Barbara	M1212C907858780	Low	US	M1487365582	Savings	N	N
C869758554	67111.65	Joseph	M1212C869758554	Low	US	M1777163938	Current	N	N
C1087916281	41945.73	Charles	M1212C1087916281	Medium	US	M1250315597	Current	N	N
C1511319053	0	Andrew	M1212C1511319053	Low	US	C11003494	Current	N	N
C584349634	0	Amanda	M1212C584349634	Medium	US	C1504109395	Savings	N	N
C964895360	0	Melissa	M1212C964895360	High	US	C1255024717	Savings	N	N
C94690722	30415	Gary	M1212C94690722	Low	US	M30604162	Current	N	N
C1088381072	24560	Shirley	M1212C1088381072	High	US	M146842175	Savings	N	N
C833272193	182	Frank	M1212C833272193	Medium	US	M40626598	Current	N	N
C1797763792	466	Dennis	M1212C1797763792	Low	US	M1337347604	Current	N	N
C1656143941	245730	Tyler	M1212C1656143941	Medium	US	M1492276401	Current	N	N
C1015139714	38567.04	Jose	M1212C1015139714	Low	US	M287056540	Current	N	N
C1210856733	32477	Olivia	M1212C1210856733	Low	US	M1978317461	Savings	N	N
C650608468	0	James	M1212C650608468	Low	US	C1023714065	Current	N	N
C1443000737	0	Linda	M1212C1443000737	High	US	C932583850	Savings	N	N
C1957691975	262280.55	Charles	M1212C1957691975	Medium	US	M715213542	Current	N	N
C2053491093	36026.17	Lisa	M1212C2053491093	Low 	US	M2090142523	Savings	N	N
C856937591	31164	Steven	M1212C856937591	Medium	US	M741095751	Current	N	N
C1446825265	0	Jeffrey	M1212C1446825265	Low	US	M1917214386	Current	N	N
C1200601052	0	Laura	M1212C1200601052	Medium	US	M701652581	Savings	N	N
C431446827	674221	Ryan	M1212C431446827	High	US	M1506030945	Current	N	N
C483529787	9148	Nicholas	M1212C483529787	High	US	M286840121	Current	N	N
C639579551	34622	Shirley	M1212C639579551	High	US	M1526901124	Savings	N	N
C889346570	12983	Nicole	M1212C889346570	Medium	US	M947069796	Savings	N	N
C925829785	0	Samantha	M1212C925829785	High	US	C1453128758	Savings	N	N
C1227170244	1932522.64	Carolyn	M1212C1227170244	Medium	US	C1388157479	Savings	N	N
C1144653485	1985419.52	Raymond	M1212C1144653485	High	US	C173783788	Current	N	N
C705400860	3232842.37	Jerry	M1212C705400860	High	US	C97730845	Current	N	N
C748935206	5239653.45	Mahesh	M1212C748935206	Medium	India	C2117043942	Savings	N	N
C104912388	64443	John	M1212C104912388	Low 	US	M1657521272	Current	N	N
C1413020227	125444	Jennifer	M1212C1413020227	Low	US	M1361755941	Savings	N	N
C40829249	4801	Matthew	M1212C40829249	High	US	M873688017	Current	N	N
C767794003	108307.54	Kenneth	M1212C767794003	Medium	US	M1157856790	Current	N	N
C929066990	0	Deborah	M1212C929066990	Medium	US	M869437194	Savings	N	N
C76379039	0	Ronald	M1212C76379039	High	US	M1374115999	Current	N	N
C1707889234	0	Stephanie	M1212C1707889234	Low	US	M1119955774	Savings	N	N
C1101970356	0	Rebecca	M1212C1101970356	Low	US	M184410212	Savings	N	N
C1354510873	0	Scott	M1212C1354510873	Low	US	M93974967	Current	N	N
C117701189	0	Samuel	M1212C117701189	Low	US	M1586519852	Current	N	N
C351297720	10000000	Tyler	M1212C351297720	Medium	US	C766681183	Current	N	N
C2044690596	2930418.44	Aaron	M1212C2044690596	Low	US	C932583850	Current	N	N
C319618119	15599	Ruth	M1212C319618119	Medium	US	M82750270	Savings	N	N
C1478269879	31431	Olivia	M1212C1478269879	Low	US	C1359953204	Savings	N	N
C2117938877	359	Saurav	M1212C2117938877	Low 	India	M725873428	Current	N	N
C977952572	15388	Karthik	M1212C977952572	Low	India	M1328764608	Savings	N	N
C72893188	9459.95	Mary	M1212C72893188	Medium	US	C1860564101	Savings	N	N
C1867568476	296083.83	Patricia	M1212C1867568476	Medium	US	C985934102	Savings	N	N
C604480364	1638124.21	Joseph	M1212C604480364	Low	US	C1604271704	Current	N	N
C870627780	2143395.3	Karen	M1212C870627780	Low	US	C214774813	Savings	N	N
C282166934	2244064.83	Lisa	M1212C282166934	Low 	US	C564160838	Savings	N	N
C1518022811	2447820.23	Matthew	M1212C1518022811	High	US	C214187874	Current	N	N
C918584437	2582466.95	Mark	M1212C918584437	Low	US	C934085675	Current	N	N
C977245867	5667494.55	Michelle	M1212C977245867	Low	US	C564160838	Savings	N	N
C1185465012	6969613.45	George	M1212C1185465012	Medium	US	C1916720513	Current	N	N
C1985362663	7401779.9	Timothy	M1212C1985362663	Low	US	C1916720513	Current	N	N
C227005513	9854223.72	Kathleen	M1212C227005513	Low 	US	C1774531247	Savings	N	N
C1538844412	10500000	Angela	M1212C1538844412	Low	US	C1538745405	Savings	N	N
C426123784	361.28	Justin	M1212C426123784	Medium	US	M560734926	Current	N	N
C154923232	27160.24	Scott	M1212C154923232	Low	US	C1850042097	Current	N	N
C1803976423	309650.74	Brandon	M1212C1803976423	Low 	US	C657736958	Current	N	N
C678858277	2341287.39	Christine	M1212C678858277	Low	US	C1782113663	Savings	N	N
C1686568571	3793453.22	Dennis	M1212C1686568571	Low	US	C453211571	Current	N	N
C1387948122	4849720.26	Ruth	M1212C1387948122	Medium	US	C1831477404	Savings	N	N
C701526215	25146.89	Amit	M1212C701526215	Low	India	M518739992	Current	N	N
C1179830093	52407	James	M1212C1179830093	Low	US	C1651379334	Current	N	N
C1768926513	16834.64	Patricia	M1212C1768926513	Medium	US	M738636051	Savings	N	N
C1207758771	0	Joseph	M1212C1207758771	Low	US	C1789550256	Current	N	N
C756222660	0	Donald	M1212C756222660	High	US	C1286084959	Current	N	N
C700791887	0	Emily	M1212C700791887	Medium	US	C214774813	Savings	N	N
C1331644236	71450	Ronald	M1212C1331644236	High	US	M1487131937	Current	N	N
C349757746	165641	Stephanie	M1212C349757746	Low	US	M2135563436	Savings	N	N
C1355676410	39720	Sharon	M1212C1355676410	Low 	US	M781527109	Savings	N	N
C1415390560	801	Katherine	M1212C1415390560	Medium	US	M307148861	Savings	N	N
C1243800791	149069	Alexander	M1212C1243800791	Medium	US	M227030447	Current	N	N
C1170735890	11619	Catherine	M1212C1170735890	Low 	US	M2077462509	Savings	N	N
C931003277	8372.12	Dennis	M1212C931003277	Low	US	C728526866	Current	N	N
C931003277	8372.12	Dennis	M1212C931003277	Low	US	C728526866	Current	N	N
C931003277	8372.12	Dennis	M1212C931003277	Low	US	C728526866	Current	N	N
C931003277	8372.12	Dennis	M1212C931003277	Low	US	C728526866	Current	N	N
C540962910	169941.73	Jerry	M1212C540962910	High	US	C2127862399	Current	N	N
C1641418296	0	Mahesh	M1212C1641418296	Medium	India	C662736689	Savings	N	N
C669096398	0	Jennifer	M1212C669096398	Low	US	C1883840933	Savings	N	N
C120999784	11225	Linda	M1212C120999784	High	US	M1436610577	Savings	N	N
C556223230	13707.11	Barbara	M1212C556223230	Low	US	C2094777811	Savings	N	N
C1891799894	20495	Charles	M1212C1891799894	Medium	US	M1361241279	Current	N	N
C1647891936	20366	Daniel	M1212C1647891936	Low	US	M862931361	Current	N	N
C577592048	10319	Betty	M1212C577592048	Low	US	M1383675856	Savings	N	N
C1468809177	3003.52	Emily	M1212C1468809177	Medium	US	M610056415	Savings	N	N
C320414325	15972.67	Michelle	M1212C320414325	Low	US	M2031705122	Savings	N	N
C1799199800	0	Sharon	M1212C1799199800	Low 	US	C1167066016	Savings	N	N
C1549439412	0	Laura	M1212C1549439412	Medium	US	C1750905143	Savings	N	N
C122361912	21763	Angela	M1212C122361912	Low	US	M1389978471	Savings	N	N
C733419479	9902	Larry	M1212C733419479	Low 	US	M2063470183	Current	N	N
C582495711	21018	Justin	M1212C582495711	Medium	US	C1983747920	Current	N	N
C1844941220	86070.17	Raymond	M1212C1844941220	High	US	C1191544932	Current	N	N
C1770496307	259438.66	Elizabeth	M1212C1770496307	Medium	US	M1350011870	Savings	N	N
C2062604571	0	Daniel	M1212C2062604571	Low	US	M478113430	Current	N	N
C299004234	0	Ashley	M1212C299004234	Low	US	M212158113	Savings	N	N
C997657863	21226	Deborah	M1212C997657863	Medium	US	M1655750533	Savings	N	N
C1806062974	82083	Cynthia	M1212C1806062974	Low	US	M521611410	Savings	N	N
C206142037	4128	Pamela	M1212C206142037	Low	US	M1955846455	Savings	N	N
C1573356572	34194	Justin	M1212C1573356572	Medium	US	M1298650532	Current	N	N
C611711907	3178	Nicole	M1212C611711907	Medium	US	M431966204	Savings	N	N
C195699326	24586.97	Alexander	M1212C195699326	Medium	US	C456172878	Current	N	N
C1337659716	6023	Rachel	M1212C1337659716	Low 	US	M237711398	Savings	N	N
C1956358668	978.83	Raymond	M1212C1956358668	High	US	C766681183	Current	N	N
C1277867318	7627	Catherine	M1212C1277867318	Low 	US	M586914348	Savings	N	N
C651431031	10908	Julie	M1212C651431031	Medium	US	M140163428	Savings	N	N
C1339556608	4289397.43	Richard	M1212C1339556608	Medium	US	C667346055	Current	N	N
C1207093026	8305084.52	Kimberly	M1212C1207093026	High	US	C542895457	Savings	N	N
C1717104778	8724669.46	Andrew	M1212C1717104778	Low	US	C1397088232	Current	N	N
C903663666	9051175	Joshua	M1212C903663666	Low 	US	C1653859230	Current	N	N
C2116548099	9833673.49	George	M1212C2116548099	Medium	US	C1794893473	Current	N	N
C627419088	10100000	Stephanie	M1212C627419088	Low	US	C1076835071	Savings	N	N
C2010024132	862146.7	Anna	M1212C2010024132	Medium	US	C728526866	Savings	N	N
C43734323	1298295.98	Brenda	M1212C43734323	Medium	US	C716083600	Savings	N	N
C2035048286	1718647.34	Emma	M1212C2035048286	High	US	C1870252780	Savings	N	N
C939455271	2512361.52	Brandon	M1212C939455271	Low 	US	C1303868418	Current	N	N
C752090153	2893312.33	Helen	M1212C752090153	Low	US	C1782113663	Savings	N	N
C189993695	4875810.94	Frank	M1212C189993695	Medium	US	C187649742	Current	N	N
C1598068850	4937217.76	Patrick	M1212C1598068850	Low	US	C1459035867	Current	N	N
C1493755606	5670925.46	Catherine	M1212C1493755606	Low 	US	C709091500	Savings	N	N
C337295973	21103	Ruth	M1212C337295973	Medium	US	M861339480	Savings	N	N
C437771631	0	Barbara	M1212C437771631	Low	US	M199676456	Savings	N	N
C335436727	2506931.96	Edward	M1212C335436727	Medium	US	C667346055	Current	N	N
C729248981	4182318.89	Kathleen	M1212C729248981	Low 	US	C1167066016	Savings	N	N
C359713488	9556	Shirley	M1212C359713488	High	US	M554241160	Savings	N	N
C224544559	18024	Jonathan	M1212C224544559	Low	US	M1671973814	Current	N	N
C106787773	13205.07	Stephen	M1212C106787773	Low	US	M663317819	Current	N	N
C1054334320	8594.52	Brenda	M1212C1054334320	Medium	US	M1866142672	Savings	N	N
C1856400435	0	Pamela	M1212C1856400435	Low	US	M1504987044	Savings	N	N
C265262373	82215	Debra	M1212C265262373	Low	US	M806073091	Savings	N	N
C1111700510	10339	Frank	M1212C1111700510	Medium	US	M219962610	Current	N	N
C366370767	14519.98	Carolyn	M1212C366370767	Medium	US	M989992548	Savings	N	N
C383882703	60726.57	Jerry	M1212C383882703	High	US	C1807010830	Current	N	N
C1830261066	11492	Diane	M1212C1830261066	High	US	M1231232251	Savings	N	N
C1023620179	553397	Jose	M1212C1023620179	Low	US	M1138670146	Current	N	N
C242833949	99114	Julie	M1212C242833949	Medium	US	C1438594533	Savings	N	N
C1025266421	5086.37	Joyce	M1212C1025266421	High	US	C456172878	Savings	N	N
C1521986562	328	Robert	M1212C1521986562	Low	US	M1253827612	Current	N	N
C1576607881	172469.57	Christopher	M1212C1576607881	Medium	US	M1863075316	Current	N	N
C859156431	0	Margaret	M1212C859156431	Low 	US	C97730845	Savings	N	N
C614054257	0	Sandra	M1212C614054257	Medium	US	C1303868418	Savings	N	N
C1311562833	5583	Paul	M1212C1311562833	Low	US	M694790566	Current	N	N
C1977656652	104778	Kevin	M1212C1977656652	Low	US	M1090123277	Current	N	N
C2117142060	29927	Jason	M1212C2117142060	Medium	US	M1499458969	Current	N	N
C819323772	0	Gary	M1212C819323772	Low	US	M497501602	Current	N	N
C700523674	50392	Carolyn	M1212C700523674	Medium	US	M1542155234	Savings	N	N
C1334204880	20057	Heather	M1212C1334204880	Low	US	M663741480	Savings	N	N
C1136705850	18372.38	Adam	M1212C1136705850	Low 	US	M1931327807	Current	N	N
C2079989429	260173	Robert	M1212C2079989429	Low	US	M850683953	Current	N	N
C1398005001	7050	Patricia	M1212C1398005001	Medium	US	M839907439	Savings	N	N
C725177729	20814	Charles	M1212C725177729	Medium	US	C1587143371	Current	N	N
C790598933	2255.9	Donald	M1212C790598933	High	US	M1552595422	Current	N	N
C1463905865	20212	Ashley	M1212C1463905865	Low	US	M779857934	Savings	N	N
C850465441	64497	Nicole	M1212C850465441	Medium	US	M1446362322	Savings	N	N
C764490006	29723	Benjamin	M1212C764490006	Medium	US	C757257137	Current	N	N
C1498944673	19889	Samuel	M1212C1498944673	Low	US	M2112194333	Current	N	N
C1345069688	203281	Gregory	M1212C1345069688	High	US	M18913807	Current	N	N
C340715687	704521.71	Karthik	M1212C340715687	Low	India	M1387473776	Savings	N	N
C688239976	11736	Charles	M1212C688239976	Medium	US	M1040079319	Current	N	N
C1503844182	51132	Christopher	M1212C1503844182	Medium	US	M375201108	Current	N	N
C1273048940	3881	Lisa	M1212C1273048940	Low 	US	M1389056701	Savings	N	N
C242113956	20018	Margaret	M1212C242113956	Low 	US	M1913425792	Savings	N	N
C257495665	40919	Mark	M1212C257495665	Low	US	M2009885224	Current	N	N
C1504033633	19001.72	Ashley	M1212C1504033633	Low	US	M1868933720	Savings	N	N
C1521250207	0	Dorothy	M1212C1521250207	Low	US	M608486367	Savings	N	N
C1058892307	0	Cynthia	M1212C1058892307	Low	US	M2092912524	Savings	N	N
C1641059445	19634	Justin	M1212C1641059445	Medium	US	C146305349	Current	N	N
C442940993	99266	Scott	M1212C442940993	Low	US	M2138104388	Current	N	N
C642340409	62734	Maria	M1212C642340409	Medium	US	M1170475172	Savings	N	N
C213063852	10119.47	Tyler	M1212C213063852	Medium	US	C922511709	Current	N	N
C717249075	5884.22	Olivia	M1212C717249075	Low	US	C1446521801	Savings	N	N
C71599579	0	Jessica	M1212C71599579	Medium	US	C801142660	Savings	N	N
C1106755629	14969	Daniel	M1212C1106755629	Low	US	M1714507758	Current	N	N
